Course,Title,CRN,Credits,Max Enrl,Cur Enrl,Remain Seats,Begin Time,End Time,Days,Bldg,Room,Instructor,Comments,Department,Last Taught
PRNU 235, Psych/MH Nurs: Thry & Ptm,90064,5,44,40,4, 08:30, 11:30, M, REMOTE, COURSE, Wosky R, Prereqs enforced by the system: PSYS  170 or PSYC 152; Pre/coreq: PRNU 131;  PRNU majors only; Must register for  PRNU 121 A; Course uses Blackboard;  Must register for a clinical; Lab fee:  $9.00,PROFESSIONAL--NURSING,Fall 2020
PRNU 240, Iss & Ldrs Prf Nurs Thr & Ptm,10230,6,96,95,1, 12:00, 03:00, M, ROWELL,103, Cahill-Griffin  Brown B, Prereqs enforced by the system: PRNU  234; Co-req: PRNU 241; Must register  for the PRNU 240 lab whose date range  corresponds to that of clinical  placement determined by instructor on  individual basis; PRNU majors only; ATI  fee: $250,PROFESSIONAL--NURSING,Spring 2020
PRNU 241, Public Health Nursing,10323,6,60,57,3, 12:00, 03:00, M, ROWELL,118, Abrams S," Majors only; Prerequisites: PRNU 231,  234, 235; Coreq: PRNU 240; Must  register for a PRNU lab A01-A06",PROFESSIONAL--NURSING,Spring 2016
PRNU 243, Transition to Prof Practice,11179,1,96,96,0, 11:40  TBA, 12:30  TBA, T, ROWELL  ONLINE, 103  COURSE, McManus L, Prereqs enforced by the system: PRNU  234; Meets every Tuesday 1/14/20-2/11/  20;,PROFESSIONAL--NURSING,Spring 2020
PRNU 245, Public Health Nursing,93038,3,96,94,2, 02:30, 03:45, M W, REMOTE, COURSE, Wosky R  Narkewicz S, Prereqs enforced by the system: PRNU  134; Public Health Nursing lecture only  3 credits; Clinical in winter or spring  required,PROFESSIONAL--NURSING,Fall 2020
PRNU 246, Practicum Pub Health Nursing,13219,3,12,8,4, TBA  TBA, TBA  TBA,, ONCMP  OFFCMP, SEE NOTES  SEE NOTES, Narkewicz S, Dates: 1/13/20-3/6/20; Meets in Rowell  201A for on campus dates: Actual dates  and time within this date range are  determined by instructor on individual  basis M-F Prereqs enforced by the  system: PRNU 245,PROFESSIONAL--NURSING,Spring 2020
PRNU 248, Applied Patho-pharmacology,13400,2,96,80,16, 03:30, 05:30, M, ROWELL,103, Abajian M,,PROFESSIONAL--NURSING,Spring 2020
PRNU 260, Chronic Disease Management,15071,3,10,1,9, TBA, TBA,, TBA, TBA, Aitken M, Prereqs enforced by the system: PRNU  060 & 111 NAT majors only,PROFESSIONAL--NURSING,Spring 2020
PRNU 263, Prof Nursing Pract&Soc Justice,93955,3,20,4,16, TBA, TBA,, ONLINE, COURSE, Hunter L, NAT (RN to BS) students only,PROFESSIONAL--NURSING,Fall 2019
PRNU 264, Public Health Nursing for RN,95267,3,5,2,3, TBA, TBA,, ONLINE, COURSE, Aitken M, Prereqs enforced by the system: PRNU  060 and 111,PROFESSIONAL--NURSING,Fall 2020
PRNU 265, Intro Health Care Fin & Policy,91547,3,20,2,18, TBA, TBA,, ONLINE, COURSE, Havey L, NAT (RN to BS) students only,PROFESSIONAL--NURSING,Fall 2019
PRNU 295, Public Health Nursing,96132,3,85,86,-1, 02:45, 04:05, M W, STAFFO,101, Aitken M  Wachtel D  Watson E, Public Health Nursing lecture only;  Required for all senior PRNU students;  Clinical in spring 2017,PROFESSIONAL--NURSING,Fall 2016
PRNU 296, Advanced Special Topics,14001,2,35,33,2, 09:00, 11:00, M, ROWELL,244, Burnham T," PRNU Seniors enrolled in Critical Care  area for senior practicum are given  priority, all others by instructor  permission.",PROFESSIONAL--NURSING,Spring 2020
PRT 001, Intro to Recreation & Tourism,91416,3,55,43,12, 03:30, 04:45, M W, AIKEN,102, Kaufman D  Kuentzel W, Open to first year through juniors;  Seniors by instructor permission only,"PARKS,--RECREATION--AND--TOURISM",Fall 2017
PRT 010, Intr Sustainable Rec & Tourism,94508,3,59,51, 6*XL, 03:30, 04:45, M W, REMOTE, COURSE, Kaufman D,,ENVIRONMENTAL--STUDIES,Fall 2020
PRT 050, Tourism Planning,10910,3,50,49,1, 02:50, 04:05, T R, AIKEN,110, Kaufman D," First year, sophomore, or JR standing  only; Seniors by permission","PARKS,--RECREATION--AND--TOURISM",Spring 2020
PRT 096, Parks and Protected Areas,96097,3,49,31,18, 05:05, 06:20, M W, REMOTE, COURSE, Kuentzel W,,ENVIRONMENTAL--STUDIES,Fall 2020
PRT 138, SL:Landsc. Archfor Parks & Rec,90958,4,40,22,18, 11:40, 12:55, T R, HILLS,234, Raphael D, Minimum Sophomore standing; Must  register for lab; Service Learning,"PARKS,--RECREATION--AND--TOURISM",Fall 2019
PRT 149, Wilderness Educ & Leadership,91712,3,24,22,2, 05:05  10:50  TBA  TBA, 07:05  02:00  TBA  TBA, W  F  U S  U S, HILLS  ROWELL  OFFCMP  OFFCMP, 122  102  SEE NOTES  SEE NOTES, Abbott J,,ENVIRONMENTAL--STUDIES,Fall 2019
PRT 157, Ski Area Management,10911,4,34,24,10, 04:25, 05:40, T R, AIKEN,112, Kaufman D," Minimum Junior standing, or by  permission; PRT majors/minors, or  others by permission; Course fee: $95","PARKS,--RECREATION--AND--TOURISM",Spring 2020
PRT 158, CL: Resort Mgmt & Marketing,90875,3,35,26,9, 04:25, 05:40, T R, REMOTE, COURSE, Kaufman D," Minimum Sophomore standing; PRT majors  and PRT minors, Sports Management  minors by permission; Civic Learning","PARKS,--RECREATION--AND--TOURISM",Fall 2020
PRT 188, Special Topics,13534, 1.00-18.00,10,2,8, TBA, TBA,, ONCMP, SEE NOTES, Kaufman D  Stokowski P  Kuentzel W, Junior standing; Instructor permission  required; Available for 1.00-6.00  credits,"PARKS,--RECREATION--AND--TOURISM",Spring 2020
PRT 191," Parks,Recr & Tourism Practicum",90876, 1.00-3.00,20,2,18, TBA, TBA,, TBA, TBA, Kuentzel W  Erickson J  Stokowski P  Kaufman D," RM, PRT majors only; Minimum Junior  standing; Contact instructor for  meeting location and time","PARKS,--RECREATION--AND--TOURISM",Fall 2020
PRT 230, Ecotourism,96123,3,32,36, -5*XL, 12:00, 03:00, M, WILLMS,301, Kestenbaum D,,"PARKS,--RECREATION--AND--TOURISM",Fall 2020
PRT 235, Outdoor Recreation Planning,91454,3,59,59, -1*XL, 08:30, 09:20, M W F, AIKEN,110, Stokowski P, Prerequisites: PRT major or minor; SMGT  minors by permission; Junior or Senior  status; Instructor will provide details  about course meetings,"PARKS,--RECREATION--AND--TOURISM",Fall 2020
PRT 240, Park and Wilderness Management,11059,3,36,36,0, 05:05, 06:20, M W, AIKEN,112, Perry E, Minimum Junior standing,"PARKS,--RECREATION--AND--TOURISM",Spring 2018
PRT 255, Environmental Interpretation,91455,3,25,15, 10*XL, 09:40, 10:30, M W F, AIKEN,112, Stokowski P, PRT Juniors and Seniors; Others by  instructor permission,"PARKS,--RECREATION--AND--TOURISM",Fall 2020
PRT 258, Entrepreneurship Rec&Tourism,10912,3,34,29,5, 01:15, 02:30, T R, AIKEN,112, Kaufman D, Minimum Junior standing; PRT majors or  minors; Others by permission,"PARKS,--RECREATION--AND--TOURISM",Spring 2020
PRT 296, Recreation Planning,95971,3,15,4,11, 08:30, 09:20, M W F, AIKEN,112, Stokowski P, Instructor permission required,"PARKS,--RECREATION--AND--TOURISM",Fall 2019
PSS 010, Home & Garden Horticulture,90017,3,196,163,33, 04:25, 05:40, T R, REMOTE, COURSE, Starrett M," Open to Degree and CDE students; PLEASE  NOTE: An optional lab, PSS 015 is  available; The optional lab does not  meet the lab science requirement for  CAS majors",PLANT--&--SOIL--SCIENCE,Fall 2020
PSS 015, Home & Garden Horticulture Lab,91132,1,11,11,0, 12:00, 03:00, W, JEFFRD,101, Starrett M," Co-req: PSS 010; PLEASE NOTE: this  optional lab does not meet the lab  science requirement for CAS majors; Lab  fee: $15; The fee includes Safety  Glasses,Ear/Hearing protection, Work  gloves, and a field trip to the Hort  Farm by bus; Open to Degree and CDE  students",PLANT--&--SOIL--SCIENCE,Fall 2020
PSS 021, SU: Intro to Agroecology,14002,3,40,46,-6, 11:40, 12:55, T R, BLLNGS, MLK, Izzo V,,PLANT--&--SOIL--SCIENCE,Spring 2020
PSS 028, A Bug's Life,10124,3,175,102,73, 05:05, 08:05, W, ML SCI,235, Lewins S, Open to Degree and CDE students,PLANT--&--SOIL--SCIENCE,Spring 2020
PSS 095, Living Landscapes,95385,3,47,34,13, TBA, TBA,, ONLINE, COURSE, White A,,PLANT--&--SOIL--SCIENCE,Fall 2020
PSS 096, Drawing & Painting Botanicals,14008,3,15,16,-1, 01:10, 04:10, F, JEFFRD,100, Masseau J, Open to Degree and CDE students,PLANT--&--SOIL--SCIENCE,Spring 2020
PSS 106, Entomology & Pest Mgmt,90030,4,36,14,22, 02:50, 04:05, T R, JEFFRD,127, Chen Y,,ENVIRONMENTAL--STUDIES,Fall 2020
PSS 112, Weed Ecology & Management,91403,3,24,15,9, 11:40  01:10, 12:40  04:00, T  F, HILLS  ML SCI, 228  107, Izzo V,,ENVIRONMENTAL--STUDIES,Fall 2020
PSS 117, Plant Pathology,95383,4,48,4, 40*XL, 02:20  01:15, 03:10  04:15, M W F  R, JEFFRD  JEFFRD, 112  101, Delaney T, Prereqs enforced by the system: PBIO  004 or BIOL 001/002 or BCOR 011/012;  Crosslisted with PBIO 117; Total  combined enrollment = 48,PLANT--&--SOIL--SCIENCE,Fall 2020
PSS 121, Indoor Plants,90711,1,25,28,-3, TBA, TBA,, ONLINE, COURSE, Perry L, Prereqs enforced by the system: PSS 010  or PSS 021; Contact leonard.perry@uvm.  edu for course override; Open to Degree  and CDE students,PLANT--&--SOIL--SCIENCE,Fall 2020
PSS 123, Garden Flowers,90710,2,25,24,1, TBA, TBA,, ONLINE, COURSE, Perry L, Prereqs enforced by the system: PSS 010  or PSS 021; or one semester of Biology  or Instructor Permission; Contact  leonard.perry@uvm.edu for course  override; Open to Degree and CDE  students,PLANT--&--SOIL--SCIENCE,Fall 2020
PSS 125, Woody Landscape Plants,90032,4,36,5,31, 10:05, 02:20, T R, WILLMS,301, Starrett M, Prereqs enforced by the system: PSS 010  or 021 or 1 semester Biology or  permission; Open to Degree and CDE  students; Contact instructor for  override: mark.starrett@uvm.edu,PLANT--&--SOIL--SCIENCE,Fall 2020
PSS 127, Greenhouse Operations & Mgmt,14817,4,32,16,16, 09:40, 10:30, M W F, ROWELL,115, White A, Students must register for lab. Prereqs  enforced by the system: PSS 10 or 21,PLANT--&--SOIL--SCIENCE,Spring 2020
PSS 137, SL:Landscape Dsgn Fundamentals,90033,4,39,37, 0*XL, 01:10  02:01, 02:00  03:45, M W  M W, AIKEN  ONCMP, 110  SEE NOTES, Hurley S  White A," Prereq: One course in drawing, design  or mapping; Cross listed with ENVS 137  A, NR 137 A and CDAE 137; Combined  total enrollment of 40. Lab 2:00-3:45  meets in Marsh Life Science 126, 128  and 129. Minimum Junior standing; Instr  perm required (email aresnik@uvm.edu  for override)",PLANT--&--SOIL--SCIENCE,Fall 2020
PSS 138, Commercial Plant Propagation,10113,4,48,32,16, 10:05, 11:20, T R, JEFFRD,110, Starrett M," Prereqs enforced by the system: PSS 10  or 21; one semester Biology, or  instructor permission; Must register  for lab; Open to CDE and Degree  students; Contact the instructor for  override: mark.starrett@uvm.edu if  needed",PLANT--&--SOIL--SCIENCE,Spring 2020
PSS 143, Forage and Pasture Mgmnt,95221,4,24,12, 7*XL, 01:10, 04:50, M W, HILLS,17, Bosworth S, Crosslisted with ASCI 143 Prereqs  enforced by the system: BIOL 1 or 2 or  11 or 12 or PBIO 4 or 6; Total combined  enrollment: 24,PLANT--&--SOIL--SCIENCE,Fall 2019
PSS 145, Turfgrass Management,94876,3,24,6,18, 01:10  TBA, 05:00  TBA, M, HILLS  ONLINE, 017  SEE NOTES, Bosworth S, Prereqs enforced by the system: PSS 10  or 21; Course is partly online,PLANT--&--SOIL--SCIENCE,Fall 2018
PSS 154, Composting Ecology & Mgmt,14826,3,48,38,10, 11:40, 12:55, T R, JEFFRD,112, Neher D, 3 credits in biology or ecology or  instructor permission,PLANT--&--SOIL--SCIENCE,Spring 2020
PSS 156, Permaculture,92932,3,47,26, -13*XL, TBA, TBA,, ONLINE, COURSE, White A, Prereqs enforced by the system: PSS 21  or BIOL 002 or NR 103 or BCOR 12 or 102;  Or permission; Sophomore standing. Open  to Degree and CDE students; Cross  listed with ENVS Max enrollment 48,PLANT--&--SOIL--SCIENCE,Fall 2020
PSS 161, SU: Fundmntls of Soil Science,90035,4,96,81,15, 08:30, 09:45, T R, ML SCI,235, Gorres J, Prereq: Inorganic chemistry or  permission; Must register for PSS 161  lab; Open to Degree and CDE students,PLANT--&--SOIL--SCIENCE,Fall 2020
PSS 162, Soil Fertility & Conservation,11185,3,40,14,26, 08:30, 09:20, M W F, JEFFRD,127, Gorres J,,ENVIRONMENTAL--STUDIES,Spring 2020
PSS 195, Insect Pest Management,97073,3,10,1,9, 02:50, 04:05, T R, REMOTE, COURSE, Chen Y,,PLANT--&--SOIL--SCIENCE,Fall 2020
PSS 196, SL:Crop Innovation & Breeding,14005,3,24,2,22, 03:30  12:45, 04:45  03:29, M W  M, JEFFRD  JEFFRD, 101  101, Bishop-Von Wettber,,PLANT--&--SOIL--SCIENCE,Spring 2020
PSS 197, Woody Landscape Plants TA,91827, 1.00-6.00,4,2,2, TBA, TBA,, TBA, TBA, Starrett M, Instructor permission required,PLANT--&--SOIL--SCIENCE,Fall 2016
PSS 198, TA for A Bugs Life,11595,3,3,1,2, 05:05, 08:05, W, ONCMP, SEE NOTES, Lewins S, Contact department for location;  Instructor permission required,PLANT--&--SOIL--SCIENCE,Spring 2016
PSS 208, Diversified Farm Planning,10908,3,25,17,8, 12:00, 03:00, W, JEFFRD,112, Bradshaw T," Prereqs enforced by the system: PSS 021;  and one 100-level PSS course, or  equivalent experience, or instructor  permission",PLANT--&--SOIL--SCIENCE,Spring 2020
PSS 212, SL: SU: Advanced Agroecology,91270,4,40,21, 9*XL, 10:05, 11:20, T R, JEFFRD,127, Mendez V  Izzo V, Prereqs enforced by the system: PSS  021; or 1 semester ecology at or above  the 100 level or permission; Senior or  Graduate standing; Field trip fee: $30;  Service Learning; Must register for PSS  212 lab A01 or A02; Cross listed with  ENVS 212; max enrollment 40,PLANT--&--SOIL--SCIENCE,Fall 2020
PSS 221, Sustainable Orchard Management,95387,3,18,13, 5*XL, 01:10, 05:00, W, MORRIL,10, Bradshaw T, Cross-listed with PSS 395 A.,PLANT--&--SOIL--SCIENCE,Fall 2020
PSS 232, Biological Control,14820,3,25,11,14, 11:40, 12:55, T R, AIKEN,112, Chen Y," BIO 001, BIO 002, and one of the  following: PSS 106, NR 103, BCOR 102 or  equivalent course.",PLANT--&--SOIL--SCIENCE,Spring 2020
PSS 238, Ecological Landscape Design,11009,4,20,19,1, 12:00  01:00, 12:50  03:00, M W  M W, HILLS  HILLS, 234  226, White A, Prereqs enforced by the system: PSS 137;  or one course in Hills 226 1:00-3:00 MW  in ecology plus one course in design or  drawing; Minimum Junior standing;  Instructor permission required; contact  Annie.White@uvm.edu for override;  Course meets in Hills 234 12:00-12:50  and,PLANT--&--SOIL--SCIENCE,Spring 2020
PSS 261, Soil Morph Class & Land Use,93777,3,20,9,11, 12:00, 04:05, M, JEFFRD,101, Waterman B, Prereqs enforced by the system: PSS 161,PLANT--&--SOIL--SCIENCE,Fall 2019
PSS 264, Chemistry of Soil & Water,15269,4,24,19,5, 01:10  11:40, 04:10  12:55, M  T R, JEFFRD  HILLS, 118  226, Ross D, Prereqs enforced by the system: PSS 161,PLANT--&--SOIL--SCIENCE,Spring 2019
PSS 268, Soil Ecology,15271,4,48,12, 34*XL, 09:40, 10:30, M W F, JEFFRD,127, Neher D, Prereqs enforced by the system: BCOR  102 or NR 103 & PSS 161 or equivalent;  Crosslisted with NR 268; Must register  for lab.,PLANT--&--SOIL--SCIENCE,Spring 2019
PSS 269, Soil/Water Pollution/Bioremed,14821,3,40,21,19, 08:30, 09:45, T R, JEFFRD,112, Faulkner J, Prereqs enforced by the system: PSS 161;  or instructor permission,PLANT--&--SOIL--SCIENCE,Spring 2020
PSS 281, Prof Dev:Eco Ag/Sust Lndsc Hrt,10667,1,30,11,19, 02:50, 04:20, T, JEFFRD,110, Neher D," Sophomore or Junior standing ECAG, SLH  majors or instructor permission",PLANT--&--SOIL--SCIENCE,Spring 2020
PSS 295, Soil Judging,95227,1,10,8,2, TBA, TBA,, ONCMP, SEE NOTES, Waterman B, Instructor will email the class about  meeting location. Several field trips  included.,PLANT--&--SOIL--SCIENCE,Fall 2019
PSS 296, Agricultural Policy & Ethics,15102,3,48,6, 2*XL, 08:30, 09:45, T R, JEFFRD,110, Bradshaw T,,PLANT--&--SOIL--SCIENCE,Spring 2020
PSS 297, Agroecology for Grad Students,96270,3,1,1,0, 10:05, 11:20, T R, ONCMP, SEE NOTES, Mendez V,,PLANT--&--SOIL--SCIENCE,Fall 2016
PSS 298, Organic Farm Practicum,16029,4,1,1,0, TBA, TBA,, TBA, TBA, Bradshaw T, Instructor permission required,PLANT--&--SOIL--SCIENCE,Spring 2016
PSS 301, Professional Skills Colloquium,92933,1,20,11,9, 01:15, 02:45, W, REMOTE, COURSE, Neher D, Graduate standing only,PLANT--&--SOIL--SCIENCE,Fall 2020
PSS 312, Ecological Foundations of Agro,15496,3,15,5,10, TBA, TBA,, ONLINE, COURSE, Izzo V,,PLANT--&--SOIL--SCIENCE,Spring 2020
PSS 313, PAR & Transdiscipl Agroecology,95247,3,15,6,9, TBA, TBA,, ONLINE, COURSE, Mendez V, Prereqs enforced by the system: PSS 311;  This course is required for students  enrolled in the Certificate of Graduate  Study in Agroecology (CGSC); Prereqs  enforced by the system: PSS 311;  Graduate standing or instructor  permission required. Complete Title:  Participatory Action Research (PAR) and  transdisciplinary approaches to  Agroecology,PLANT--&--SOIL--SCIENCE,Fall 2018
PSS 314," Agroecol, Food Sov. & Soc Mov.",95228,3,15,12,3, TBA, TBA,, ONLINE, COURSE, Izzo V  Caswell M,,PLANT--&--SOIL--SCIENCE,Fall 2019
PSS 381, Quant Thinkng Life Sciences,96394,3,11,11,0, TBA, TBA,, ONLINE, COURSE, Merrill S, Contact department for location,PLANT--&--SOIL--SCIENCE,Fall 2020
PSS 393, Seminar Series,90774,1,40,3,37, 01:10, 02:00, F, JEFFRD,112, Bishop-Von Wettber,,PLANT--&--SOIL--SCIENCE,Fall 2020
PSS 394, Seminar Series,10668,1,40,2,38, 01:10, 02:00, F, JEFFRD,112, Bishop-Von Wettber,,PLANT--&--SOIL--SCIENCE,Spring 2020
PSS 395, Sustainable Orchard Management,97064,3,2,1, 1*XL, 01:10, 05:00, W, MORRIL,10, Bradshaw T, Instructor permission. Cross-listed  with PSS 221 A.,PLANT--&--SOIL--SCIENCE,Fall 2020
PSTG 777, U Washington Seminar,90771,12,10,1,9, TBA, TBA,, OFFCMP, SEE NOTES, Staff ., Dept permission,PUBLIC--SERV--TECH--GEN,Fall 2017
PSYS 001, Intro to Psychological Science,91458,3,287,279, 6*XL, 10:05, 11:20, T R, REMOTE, COURSE, Fenstermacher S  Rudiger L,,HEALTH--AND--SOCIETY,Fall 2020
PSYS 054, Statistics for Psych Sci,12254,4,204,203,1, 01:15, 02:30, T R, GIVN E, E131, Burt K  Green J, Prereqs enforced by the system: PSYS  053 or PSYC 109; Must register for a  lab A01-A12,PSYCHOLOGICAL--SCIENCE,Spring 2020
PSYS 070, D2:FW:TAP: Meanings of Madness,95827,3,19,19,0, 08:30, 09:20, M W F, DEWEY,212, Christensen J, CAS first time first year students only,PSYCHOLOGICAL--SCIENCE,Fall 2020
PSYS 095, FW:TAP: Teenage Brains,95038,3,18,20,-2, 11:40, 12:55, T R, REMOTE, COURSE, Abaied J, CAS first time first year students only,PSYCHOLOGICAL--SCIENCE,Fall 2020
PSYS 096, Careers in Psychological Scien,15434,2,30,16,14, TBA, TBA,, ONLINE, COURSE, Rudiger L," Winter Session Online Course: 12/26/17  - 1/12/18; This course may or may not  fulfill degree requirements for UVM  students. Please consult with your  Dean's Office if you have any questions  about applicability of winter session  courses toward graduation requirements;  PSYS majors, first year and sophomores  only",PSYCHOLOGICAL--SCIENCE,Spring 2018
PSYS 107, Intro to Psycholinguistics,15461,3,40,24, 2*XL, 10:50, 11:40, M W F, LAFAYE, L300, Rodriguez G, Prereqs enforced by the system: LING 80  or PSYS/PSYC 001; Cross listed with  LING 171; total combined enrollment =  40,PSYCHOLOGICAL--SCIENCE,Spring 2019
PSYS 108, Second Language Acquisition,95905,3,39,14, -3*XL, 01:15, 02:30, T R, REMOTE, COURSE, Rodriguez G, Prereqs enforced by the system: LING  080 or PSYS 001 or PSYC 001; Cross  listed with LING 177 A; Total combined  enrollment = 40,PSYCHOLOGICAL--SCIENCE,Fall 2020
PSYS 111," Learning, Cognition & Behavior",92452,3,198,196,2, 12:00, 12:50, M W F, REMOTE, COURSE, Bouton M  Green J, Prereqs enforced by the system: PSYS  001 or PSYC 001; Open to degree and CDE  students,PSYCHOLOGICAL--SCIENCE,Fall 2020
PSYS 115, Biopsychology,13175,3,177,178,-1, 12:00, 12:50, M W F, FLEMIN,101, Hammack S, Prereqs enforced by the system: PSYS  001 or PSYC 001 or BIOL 001,PSYCHOLOGICAL--SCIENCE,Spring 2020
PSYS 130, Social Psychology,91521,3,161,144,17, 02:20, 03:10, M W F, REMOTE, COURSE, Fenstermacher, Prereqs enforced by the system: PSYS  001; Open to degree and CDE students,PSYCHOLOGICAL--SCIENCE,Fall 2020
PSYS 150, Developmental Psych: Childhood,91462,3,161,160,1, 10:50, 11:40, M W F, REMOTE, COURSE, Schermerhorn A, Prereqs enforced by the system: PSYS  001 or PSYC 001; Open to degree and CDE  students,PSYCHOLOGICAL--SCIENCE,Fall 2020
PSYS 170, Abnormal Psychology,91461,3,161,167,-6, 09:40, 10:30, M W F, REMOTE, COURSE, Rohan K,,HEALTH--AND--SOCIETY,Fall 2020
PSYS 195, Words in the Mind,95476,3,30,19, 5*XL, 02:50, 04:05, T R, LAFAYE, L411, Rodriguez G, Prereq: LING 080 Cross listed with LING  195; Total combined enrollment = 30,PSYCHOLOGICAL--SCIENCE,Fall 2019
PSYS 196, Psychology of Everyday Life,14693,3,25,25,0, 01:15, 02:30, T R, DEWEY,100, Cepeda-Benit, Prerequisite: PSYS 001 Open to degree  and CDE students,PSYCHOLOGICAL--SCIENCE,Spring 2017
PSYS 211, Learning,13192,3,25,21,4, 10:05, 11:20, T R, COHEN,107, Bouton M, Prereqs enforced by the system: PSYS  053 & PSYS 111 or PSYC 109 and 104,PSYCHOLOGICAL--SCIENCE,Spring 2020
PSYS 212, Cognition,93377,3,25,21,4, 08:30, 09:45, T R, REMOTE, COURSE, Christensen J," Prereqs enforced by the system: PSYS  053 & PSYS 111; ECP, ECSP, ELK6, PE,  PSYC, PSYS majors; PSYC, PSYS, SE13  minors only; Minimum Junior standing",PSYCHOLOGICAL--SCIENCE,Fall 2020
PSYS 213, Motivation,12268,3,25,25,0, 10:05, 11:20, T R, DEWEY,212, Christensen J, Prereqs enforced by the system: PSYS  053 and PSYS 111 or PSYC 109 and 104,PSYCHOLOGICAL--SCIENCE,Spring 2020
PSYS 214, Adv Cognitive Neuroscience,92542,3,48,57, -11*XL, 11:40, 12:55, T R, L/L CM,216, Garavan H," Prereqs enforced by the system: PSYS  053, 111 or PSYS 115 or NSCI 111;  Minimum Junior standing",PSYCHOLOGICAL--SCIENCE,Fall 2020
PSYS 215, Physiological Psychology,91564,4,28,26, 1*XL, 01:15, 02:30, T R, BLLNGS, MLK, Anacker A, Prereqs enforced by the system: PSYS  053 & 115 or NSCI 111; Students must  register for Lab A01 or A02; Minimum  Junior standing,PSYCHOLOGICAL--SCIENCE,Fall 2020
PSYS 216, Psychopharmacology,93676,3,25,28, -4*XL, 02:50, 04:05, T R, DEWEY,314, Hammack S, Prereqs enforced by the system: PSYS  053 & 115 or NSCI 111,PSYCHOLOGICAL--SCIENCE,Fall 2020
PSYS 218, Hormones and Behavior,95671,3,25,29,-4, 03:30, 04:45, M W, LAFAYE, L102, Toufexis D," Prereqs enforced by the system: PSYS  053,115 or PSYC 109 or NSCI 110 or 111",PSYCHOLOGICAL--SCIENCE,Fall 2019
PSYS 230, Advanced Social Psychology,15039,3,25,24,1, 03:30, 04:45, M W, LAFAYE, L100, Fenstermacher, Prereqs enforced by the system: PSYS  053 and PSYS 130 or PSYC 109 and 130,PSYCHOLOGICAL--SCIENCE,Spring 2020
PSYS 232, Self and Social Cognition,12683,3,25,26,-1, 11:40, 12:30, T R, LAFAYE, L308, Pinel E," Prereqs enforced by the system: PSYS  053 or PSYC 109 and PSYS 130 or PSYC  130; ECP, ECSP, ELK6, PE, PSYC, PSYS  majors; SE13, PSYC, PSYS minors only",PSYCHOLOGICAL--SCIENCE,Spring 2018
PSYS 240, Organizational Psychology,93279,3,23,23, 0*XL, 03:30, 04:45, M W, ROWELL,111, Rudiger L, Prereqs enforced by the system: PSYS  053 or 111 or 130 or 150 or 170 & PSYC  109 or 130 or 104 or 161 or 152;  Minimum junior standing,PSYCHOLOGICAL--SCIENCE,Fall 2020
PSYS 252, Emotional Devlmt & Temperament,15041,3,25,25,0, 11:40, 12:55, T R, OMANEX, A200, Schermerhorn A, Prereqs enforced by the system: PSYS  053 and PSYS 150,PSYCHOLOGICAL--SCIENCE,Spring 2020
PSYS 254, Social Development,13193,3,25,25,0, 02:50, 04:05, T R, HILLS,226, Fenstermacher, Prereqs enforced by the system: PSYS  053 and PSYS 150 or PSYC 109 or 161,PSYCHOLOGICAL--SCIENCE,Spring 2020
PSYS 257, Adolescence,92803,3,25,24,1, 09:40, 10:30, M W F, TERRIL,207, Abaied J," Prereqs enforced by the system: PSYS  053 or PSYC 109 and PSYS 150 or PSYC  161; ECP,ECSP,ELK6,PE,PSYS,PSYC majors;  SE13, PSYS, PSYC minors only; minimum  junior standing",PSYCHOLOGICAL--SCIENCE,Fall 2016
PSYS 259, Psychology of Families,91474,3,22,21, 0*XL, 09:40, 10:30, M W F, LAFAYE, L300, Lekka S," Prereqs enforced by the system: PSYS  053; and 150 or 170; or PSYC 109 or 161  or 152; ECP,ECSP,ELK6,PE,PSYC,PSYS  majors; PSYC, PSYS, SE13 minors only;  Minimum junior standing",PSYCHOLOGICAL--SCIENCE,Fall 2020
PSYS 269, SL: Fit Kids: Special Popultns,13200,3,24,22,2, 08:30, 09:20, T, DEWEY,100, Hoza B, Must register for lab PSYS 269 A01-A08;  Prereqs enforced by the system: PSYS  001 or EDSP 005 or EDEC 001; Instructor  permission required; Service Learning,PSYCHOLOGICAL--SCIENCE,Spring 2020
PSYS 270, Behav Disorders of Childhood,93941,3,25,26,-1, 02:50, 04:05, T R, REMOTE, COURSE, Burt K, Prereqs enforced by the system: PSYS 53  or 150 or 170 and PSYC 109 or 161 or  152,PSYCHOLOGICAL--SCIENCE,Fall 2020
PSYS 271, Intro to Clinical Psychology,95072,3,24,23, 1*XL, 01:15, 02:30, T R, KALKIN,3, Breslend N, Prereqs enforced by the system: PSYS  053 and 170 or PSYC 109 or 152,PSYCHOLOGICAL--SCIENCE,Fall 2020
PSYS 274, Advanced Behavior Change,14811,3,25,7,18, 08:30, 11:30, T, OMANEX, A207, Hoza B," Prereqs enforced by the system: PSYS  053 or PSYC 109 and PSYS 170 or PSYC  152; ECP, ECSP, ELK6, PE, PSYC, PSYS  majors; SE13, PSYC, PSYS minors only;  minimum Junior standing",PSYCHOLOGICAL--SCIENCE,Spring 2016
